text,label
URGENT: Your account has been suspended. Click here to verify your information immediately: http://secure-bank-login.com/verify,phishing
"Congratulations! You've won \$1,000,000 in our lottery. Claim your prize now at http://winner-prize-claim.com",phishing
Your PayPal account has been limited. Please update your payment details at http://paypal-security-update.com/login,phishing
Suspicious activity detected on your account. Click here to secure your account: http://account-security-center.org,phishing
Invoice #12345: Your payment of \$500 is overdue. Please pay immediately at http://secure-payment-gateway.net,phishing
Your Amazon order has been cancelled. Refund available at http://amazon-refund-portal.com,phishing
Your Netflix subscription will expire today. Renew now at http://netflix-security-update.com,phishing
Security Alert: Someone tried to access your account. Verify your identity at http://identity-verification-center.org,phishing
You have a new message in your inbox. Click here to read: http://secure-message-center.com,phishing
Your Microsoft account will be deleted. Save it now at http://microsoft-account-recovery.net,phishing
Your monthly bank statement is now available. Please log in to your online banking portal to view.,safe
Thank you for your recent purchase. Your order #12345 has been shipped and will arrive in 3-5 business days.,safe
Meeting reminder: Tomorrow at 2 PM in conference room B. Please bring your quarterly reports.,safe
Your prescription is ready for pickup at Main Street Pharmacy. We're open until 9 PM today.,safe
We've received your job application and will review it shortly. Thank you for your interest in the position.,safe
Your electricity bill for this month is \$125. Payment is due by the end of the month.,safe
"Happy birthday! As a valued customer, we're offering you a 20% discount on your next purchase.",safe
Your doctor's appointment has been scheduled for next Tuesday at 10:30 AM. Please arrive 15 minutes early.,safe
The neighborhood association meeting has been rescheduled to next Thursday at 7 PM.,safe
Your library book is due for renewal. Please visit our website or call to extend your borrowing period.,safe
